YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
20-21,Charlotte,,,,14,0.429,-0.6,2,0.5,-8.8,13,0.385,-5.1,35,0.457,-6.3,4,0.75,13.6,4,0.5,-2.8
20-21,Chicago,,,,12,0.5,-3.7,4,0.25,-2.6,15,0.4,-0.3,30,0.5,-3.2,5,0.4,-3.2,5,0.2,-8.7
20-21,Cleveland,,,,14,0.286,-9.3,3,0.333,-12.7,12,0.25,-10.9,32,0.219,-11.4,7,0.714,1.7,4,0.5,-12.3
20-21,Dallas,,,,12,0.5,5.8,4,0.5,-0.8,14,0.786,10.7,33,0.515,3.1,5,0.6,7.8,4,0.75,10.7
20-21,Denver,,,,10,0.6,15.6,3,0.333,-1.9,11,0.818,14.5,38,0.658,13.9,7,0.714,11.1,3,0.333,1.5
20-21,Detroit,,,,14,0.214,-9.6,2,0,-13.1,12,0.5,-7.2,29,0.241,-9.8,13,0.308,-8.4,2,0,-6.6
20-21,Golden State,,,,10,0.4,-2.9,5,0.4,-17.6,10,0.6,2.3,33,0.667,4.6,11,0.364,-8.8,3,0.333,-21.4
20-21,Houston,,,,13,0.308,-14.8,1,0,-30,11,0.091,-22.9,40,0.25,-16.6,4,0.5,-8.8,3,0,-23.6
20-21,Indiana,,,,12,0.583,-5.8,5,1,6.9,14,0.429,-6.5,30,0.433,-3.8,8,0.25,-13.7,3,0.333,-3.1
20-21,LA Clippers,,,,12,0.833,23.1,1,1,16.1,13,0.308,4.3,33,0.697,16.2,11,0.636,11.9,2,1,25.6
20-21,LA Lakers,,,,10,0.6,1,3,0.667,7.2,9,0.778,5,39,0.538,0.1,9,0.556,1.9,2,0.5,-3.9
20-21,Memphis,,,,13,0.538,-5,1,0,-32.4,15,0.467,-2.8,34,0.529,-2.5,4,0.75,-0.5,3,0.667,5.1
20-21,Miami,,,,10,0.5,4.1,3,1,13.5,11,0.455,-0.3,37,0.541,0.2,8,0.75,11.9,3,0.333,-9.8
20-21,Milwaukee,,,,12,0.5,3.3,2,1,12.3,12,0.833,12.8,33,0.606,6.2,11,0.636,5.2,2,0.5,14.2
