YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
13-Dec,Minnesota,4,0.25,-2.6,11,0.455,3.4,7,0.286,4.7,17,0.471,1.1,27,0.296,-1.5,9,0.333,-0.1,7,0.571,0.1
13-Dec,New Orleans,2,0,-14.4,12,0.417,3.8,5,0.2,3.5,11,0.273,0.7,34,0.412,2.2,12,0.167,-3.2,6,0.333,-2.4
13-Dec,New York,3,0.333,-8.7,12,0.667,4.5,4,0.75,7.5,15,0.8,0.7,33,0.636,-1.9,8,0.625,0.3,7,0.571,-3.5
13-Dec,Oklahoma City,2,0.5,-6.1,11,0.636,1.9,2,1,11.2,11,0.727,-4.1,43,0.744,-0.2,8,1,-0.5,5,0.4,2.1
13-Dec,Orlando,1,0,-25.9,9,0.333,-0.4,3,0,-14.9,12,0.167,2.3,42,0.238,0.7,13,0.308,-0.1,2,0.5,-0.2
13-Dec,Philadelphia,2,0,-5.6,10,0.3,2.6,10,0.1,-7.2,13,0.538,4.3,25,0.44,-1,17,0.588,0,5,0.4,4.7
13-Dec,Phoenix,2,0.5,14,12,0.25,0.3,5,0.2,-6.2,13,0.308,1.2,35,0.257,-0.6,9,0.444,5.4,6,0.5,4.6
13-Dec,Portland,2,1,16.9,11,0.364,-2.9,4,0.25,-1.8,11,0.545,4.1,34,0.294,1.4,17,0.471,-2.4,3,0.667,-0.3
13-Dec,Sacramento,2,0,-10.8,12,0.417,5.4,3,0.667,3.1,13,0.385,-0.8,36,0.278,-1.3,10,0.4,2.7,6,0.333,0.6
13-Dec,San Antonio,3,0,-3.6,12,0.583,5.8,2,0.5,-14.9,14,0.929,-2.1,35,0.657,0.7,9,0.889,-1.3,7,0.857,0.6
13-Dec,Toronto,2,0,0.9,12,0.417,0.6,4,0.75,2.2,11,0.364,-3.2,36,0.472,0.5,11,0.273,-1.3,6,0.333,-1.6
13-Dec,Utah,0,0,0,13,0.462,0.1,4,0.5,-0.3,12,0.75,-3.8,37,0.378,0.5,10,0.7,5,6,0.833,-0.5
13-Dec,Washington,4,0.25,-6.9,9,0.333,5.5,8,0.25,1.7,12,0.417,-2.7,29,0.414,0.6,13,0.308,-0.8,7,0.286,-3.7
